从哪一天开始在广州市内骑摩托车会被没收？|2007年1月16日
《进一步，退两步》是在哪一年发表的手册?|1904年
《社会民主党在民主革命中的两种策略》是谁出版的手册?|列宁
俄国社会民主工党第四次代表大会在哪一年召开?|1906年
列宁在革命失败后，于何年离开俄罗斯?|1907年
「粪秽坑」指的是哪里?|巴黎
列宁曾在何时短暂居住伦敦?|1908年
列宁哪里撰写《唯物主义和经验批判主义》?|大英博物馆阅览室
1912年1月的时候，列宁在何处召开政党会议?|布拉格
《帝国主义是资本主义的最高阶段》是谁发表的主张?|列宁
20世纪最重要且最有影响力的人物是谁?|列宁
列宁在何处得知俄罗斯帝国转变为俄罗斯共和国的消息?|瑞士
列宁提倡俄罗斯应当立即与奥匈帝国和哪一个国家恢复和平状态?|德国
列宁由于健康恶化，前往哪一个国家休养?|芬兰
《国家与革命》是谁的作品?|列宁
布尔什维克中央委员会会议在几月几号举办?|10月10日
列宁原本在起义后，拒绝担任哪一个职务的领导职位?|人民委员会主席
哪一个单位封锁了彼德格勒的非社会主义报纸?|军事革命委员会
在哪一年的时候，人民委员会搬移至莫斯科?|1918年
反对列宁主义的宣传小册在哪一年诞生?|1918年
列宁坚信其政府必须退出哪一场战争?|第一次世界大战
列宁说服多数布尔什维克中央委员会成员接受谁的条件?|同盟国
德意志皇帝威廉二世在哪一年辞职?|1918年
《手令》的作者是谁?|列宁
列宁的母亲是两国的混血儿，一国是瑞典，另一个国家是哪一国?|德国
雅科夫·斯维尔德洛夫在哪一年过世?|1919年
《工人监督条例》在哪一年颁布?|1917年
人民委员会在哪一年年初，取消了所有的外债?|1918年
大众教育法令是谁发布的?|列宁
詹姆士·莱恩是什么学家?|历史学家
安东·邓尼金是俄国内战期间哪一方的军官?|白军
1918年的时候，哪个军阀统治著中华民国?|北洋军阀
「针对革命敌人的大众恐怖」是哪一个政府的手段?|布尔什维克政府
「红色恐怖」在哪一年展开?|1918年
俄罗斯的集中拘留营是在哪一年设置的?|1919年
克里斯多福·瑞德是撰写哪一种类书籍的作家?|传记
34个参与共产国际第一次代表大会的集会代表中，有几个是属于前俄罗斯帝国国家?|30个
「沃洛佳」是谁?|列宁
《共产主义运动中的「左派」幼稚病》是谁的作品?|列宁
俄国共产党第十次代表大会在哪一年召开?|1921年
库恩·贝拉的共产党政府是在哪一年成立的?|1919年
波苏战争爆发后，哪一个国家攻陷基辅?|波兰
列宁所谓的世界革命，有没有实现?|没有实现
美国救济管理局是在哪一个单位之下的机构?|美国联邦政府
几月几号的时候，红军开始镇压叛乱?|3月17日
奥兰多·费吉斯是哪一个学科的学者?|历史学
「共产主义就是苏维埃政权加全国电气化。」这句话是谁说的?|列宁
哪一个组织的成员认为「国家资本主义」是社会主义原则的背叛?|布尔什维克
1920年4月的时候，列宁几岁?|50岁
列宁第一次中风是发生在哪一年?|1922年
「我们所有的人都陷在官僚主义的臭泥潭里。」此话由何人所言?|列宁
中央政治局在哪一年指派史达林负责列宁的养生计划?|1922年
列宁的哥哥在哪一年被处死?|1987年
列宁于何年最后一次造访克里姆林宫?|1923年
中央政治局在哪一年同意使用花岗岩来取代临时陵墓?|1929年
「列宁主义」这个词汇在哪一年诞生?|1904年
均田社会主义是属于哪一派的思想?|民粹派
列宁在哪一年夺取政权?|1917年
「生产资料由社会拥有的文明合作伙伴秩序」指的是谁所定义的社会主义?|列宁
「苏维埃政权比最民主的资产阶级共和国要民主百万倍。」这句话是谁说的?|列宁
谁认为列宁的人格相当具有魄力，而且可以影响人们?|沃尔科戈诺夫
「简单的道德准则：采取某些措施是推进或阻碍革命事业？」是谁的行动正当性判断?|列宁
「最愚昧无知、中世纪且可耻落后的亚洲国家之一」指的是哪一个国家?|俄罗斯
《资本论》是谁的作品?|卡尔·马克思
在沃尔科戈诺夫的观点中，何人建立了政党专政?|列宁
尼娜·图马金是研究哪一学科的学者?|历史学
「他的每个见解被引用来证明政策、或作为另一部福音看待。」指的是谁的著作?|列宁
俄罗斯自由民主党在哪一年提议除去所有列宁纪念碑?|2012年
「不管好事或坏事，都会被认为是这个世纪最重要的政治领导人」指的是谁?|列宁
列宁受到哪一个主义影响最深?|马克思主义
列宁的妹妹在哪一年过世?|1890年
《什么是「人民之友」以及他们如何攻击社会主义者？》是谁的作品?|列宁
威廉·李卜克内西是哪个主义的活动家?|马克思主义
慧远再出夹前的姓氏是?|贾
中央610办公室是在哪一年成立的?|1999年
1999年的时候，当时的中共总书记是谁?|江泽民
国务院防范和处理邪教问题办公室是于何年设置的?|2000年
美国国会在哪一年要求中共停止镇压法轮功?|2010年
「在全球范围内打击法轮功」是哪一个机构的成立目的?|610办公室
北京奥运在哪一年举办?|2008年
周永康在几月几号获判无期徒刑?|6月11日
蒙古语族是属于哪一语系?|阿尔泰语系
有两种蒙古语分布在苏联地区，其中一个是卡尔梅克语，另一个是?|布里亚特语
为了祭拜或崇敬所信仰的神，主持祭典，在祭坛上为共祭或主祭的神职人员称为?|祭司
罗马天主教和东正教的宗教职位的priest，中文翻译成甚么?|司铎
《致在中华人民共和国境内的天主教主教、司铎、信友及度过献身生活者牧函》是在哪一年发表的?|2009年
县治在哪一年从云阳镇迁至双江镇?|1999年
在几月几号的时候，袁世凯被参议院选为临时大总统?|2月15日
哪一年爆发了英国内战?|1642年
《1707年联合法案》是哪一个女王批准的?|安妮女王
在哪一年的时候，爱尔兰自由邦独立?|1922年
印度在哪一年独立并成为大英国协的会员国?|1947年
柴契尔夫人在哪一年开始担任英国首相?|1979年
英国200年来最年轻的首相是谁?|卡梅伦
何人不顾党内反对意见，坚持发动讨袁战争?|孙中山
东路军是谁带领的?|何应钦
国民党中央第二届常委会第七次扩大会议是在何处举行?|武汉
苏皖边区政府是在何处成立?|淮安
徐蚌会战在一年爆发?|1948年
临时财政委员会是谁建立的?|蒋中正
英格兰王国在哪一年合并威尔斯公国?|1535年
1282年的时候，当时的英格兰王是谁?|爱德华一世
荃湾线在哪一年全线通车?|1982年
荃湾线的代表色是?|红色
《楞严经》在哪一个朝代翻译并出书?|唐代
交大属于哪一种类的大学?|研究型大学
梅竹赛国立清华大学是和哪一所大学之间的大型学艺、体育活动?|国立交通大学
梅竹赛与TVBS电视台在哪一年合作制播梅竹赛专辑?|1995年
交大的光复校区在哪一年设立?|1978年
交大于哪何年成立学生会?|1990年
「南洋大学堂」在哪一年改名为上海工业专门学校?|1912年
国立交通大学电子研究所在哪一年设立?|1958年
中华民国第一位工学博士是谁?|张俊彦
现行校徽上西文书背上所写的三个英文字母，代表三个中文涵义，分别是工程、科学，还有一项是?|管理
北门邮电大厦四楼在哪一年正式成为交大校地?|2009年
交大的嘉义校区筹设在哪一年暂时中止?|2006年
台湾知识经济旗舰园区的计划是在哪一年通过?|2009年
交通大学设立的BB系统，是效仿了哪一所大学?|MIT
骨骼形成所必需的物质是?|钙
大理市是由哪一个国家所管辖?|中国
大理在哪一年的时候，被中国政府列为第一批24个国家历史文化名城之一?|1982年
中原王朝最早在云南设县的地区是?|大理
大理国被谁灭掉?|忽必烈
大理在哪一年被列为全国44个国家重点风景名胜区之一?|1982年
大理白族扎染结合了文化和甚么?|艺术
大理机场哪一年启用?|1995年
《忝登伯铎宝座》是在哪一年颁布的?|1959年
欧洲在哪一年开始发售任天堂DS?|2005年
麦克诺特彗星是哪一国的天文学家发现的?|澳大利亚
麦克诺特彗星于何年通过近日点?|2007年
艾尼克斯与史克威尔在哪一年正式合并?|2003年
Final Fantasy系列截至2011年6月，已经在全球销售出多少份?|1亿份
史克威尔艾尼克斯与Gas Powered Games于何年宣布合作制作《最高指挥官2》?|2008年
《魔力宝贝》是哪一年发表的线上游戏?|2001年
《Final Fantasy：梦境实录》在哪一年上映?|2001年
智利在哪一年加入「APEC」?|1994年
亚洲金融风暴在哪一年爆发?|1997年
《汉城宣言》在哪一年通过?|1991年
亚太经合会秘书处在哪一年设置?|1993年
妇女领导人会议协调组在哪一年创立?|2000年
《领导人宣言》在哪一年发布?|2002年
最早发现澳洲大陆的欧洲人是哪个国家的探险家?|荷兰
「第一船队」隶属于哪一个国家管辖?|英国
雪梨的人口在哪一世纪之后，已经超越墨尔本?|二十世纪
新南威斯斯的小学要读几年?|七年
新南威尔斯位于哪一气候带?|温带
教宗诺森三世在哪一年出任教宗?|1198年
十三世纪伟大的教宗是谁?|诺森三世
对于对仇恨犹太人或犹太教的思想与行为的总称是?|反犹太主义
「反犹太主义」这个名词在哪一年出现?|1873年
基督教会在哪一个世纪的时候尚未形成严密组织?|中世纪
纳粹反犹的行动的第一阶段在哪一年开始?|1933年
宗教改革发生于哪一个世纪?|16世纪
「圣路易斯」号事件于何年发生?|1939年
壕沟之战在哪一年爆发?|627年
摩洛哥的犹太人在哪一个世纪之后被限制居住在「犹太人区」?|15世纪
巴勒斯坦的伊玛目在哪一年指出穆斯林将会歼灭犹太人?|2015年
法国大革命在哪一年爆发?|1789年
拿破仑大军在几月几号占领了莫斯科?|9月14日
俄军在哪一年的时候攻下大部分的华沙公国?|1813年
反法联军总计有多少万?|180万
《基尔条约》在哪一年的时候签署?|1814年
拿破仑在几月几号的时候被迫退位?|4月6日
拿破仑在几月几号成功将普军打败?|6月15日
拿破仑在几月几号再度退位?|6月22日
那不勒斯战争是谁发动的?|缪拉
日不落帝国指的是哪一个国家?|英国
拿破仑战争带来了甚么主义?|民族主义
巴西在哪一年独立?|1822年
救世主大教堂在哪一年完工?|1883年
第二次反法同盟在一年形成?|1798年
亚眠和约在几月几号时签署?|3月25日
七年战争在哪一年结束?|1763年
1792至1815年间在海军中作战的俄国士兵人数有多少?|20万
谁赢得奥斯特里茨战役?|拿破仑
普雷斯堡条约是谁逼迫奥皇签署的?|拿破仑
莱茵邦联在哪一年诞生?|1806年
华沙大公国是谁成立?|拿破仑
埃尔福特会议于何年召开?|1808年
半岛战争是拿破仑和哪一国之间的战争?|西班牙
1812年战争是谁发动的?|英军
拿破仑平生首次正面惨败和哪一条有关?|多瑙河
法兰西第一帝国的版图在哪一年的时候达到顶峰?|1810年
1812年年的时候，当时的俄国沙皇是谁?|亚历山大一世
平江起事在哪一年展开?|1928年
「崽卖爷田心不痛」是谁批评李德的错误指挥?|彭德怀
中工在哪一年展开长征?|1934年
遵义会议在哪一年召开?|1935年
「现在的领导不成了，你出来指挥吧。再这样下去，就要失败。我们服从你领导，你下命令，我们跟你走。」这句话是谁说的?|林彪
「你是个娃娃，你懂得什么？」这句话是谁说的?|毛泽东
中央政治局扩大会议在几月几号举行?|9月12日
七七事变在哪一年爆发?|1937年
1938年3月时，当时的第二战区东路军副总指挥是谁?|彭德怀
「正太路战役」在哪一年展开?|1940年
百团大战在哪一年结束?|1941年
彭德怀在哪一年被任命为华北军委分会副主席?|1941年
《克服困难争取胜利》的作者是谁?|彭德怀
彭德怀在哪一年的时候，被任命为西北野战兵团司令员兼政治委员?|1947年
「三战三捷」指的是谁的战绩?|彭德怀
钟伢子是谁的乳名?|彭德怀
彭德怀在哪一年发动延清战役?|1947年
1949年，当时的中国人民解放军第一野战军司令员是谁?|彭德怀
扶眉战役是谁指挥的?|彭德怀
彭德怀在哪一年就任中共中央西北局第一书记?|1949年
美军和韩军是由谁领导的?|麦克阿瑟
谁命令彭德怀继续深入进攻韩国南部?|毛泽东
志愿军在几月的时候发起第五次战役?|4月
彭德怀在哪一年被授予中华人民共和国元帅军阶?|1955年
苏联的朱可夫元帅在哪一年被解职?|1957年
「大跃进」在哪一年开始?|1958年
《八万言书》是谁写的?|彭德怀
「以国防建设第一，加速三线建设，逐步改变工业布局」的方针在哪一年诞生?|1965年
彭德怀在哪一年被毛泽东请到中南海谈话?|1965年
「向您最后一次敬礼！祝您万寿无疆！」这封信的内容是谁写的?|彭德怀
彭德怀在哪一年当上连长?|1922年
「作战勇敢，耿直刚正，廉洁奉公，严于律己，关心群众，从不考虑个人得失。」这句话是谁说的?|邓小平
彭德怀的骨灰在哪一年被改葬在湖南湘潭乌石故里?|1999年
1928年的时候，当时的中共湘鄂赣边界特委书记是谁?|滕代远
文庚宗被谁所杀害?|袁文才
国军在哪一年占领了井冈山?|1931年
红五军军委于和何月在大冶刘仁八召开扩大会议?|6月
中国工农红军第一方面军在几月几号成立?|8月23日
彭德怀于何年被任命为苏区中央局委员?|1931年
第四次反围剿战役在哪一年爆发?|1933年
全自动，可快速连续发射的枪械指的是?|机枪
马克沁机枪理论射速是多少?|每分钟600发
英国在哪一年的时候试买了3挺马克沁机枪?|1887年
新疆省在哪一年被新成立的新疆维吾尔自治区取代?|1955年
喀尔喀蒙古在哪一年宣布独立?|1912年
蒋中正派谁任新疆省长?|吴忠信
金钟地区以前是哪一国的海军船坞?|英国
「金钟站」这个名字在哪一年诞生?|1980年
希特勒在哪一年出任威玛共和国总理?|1933年
盖世太保在哪一年的时候正式成立?|1933年
无尾目的生物，卵一般生产于何处?|水中
《闻子由瘦》是谁写的?|苏东坡
后金的创建者是谁?|努尔哈赤
明军与丰臣军交战了多久?|六年
「人有所惧，虽寝，不成寐；我果惧，安能酣寝？」这句话是谁说的?|努尔哈赤
「此来岂为城中无备耶？」此话是何人所言?|努尔哈赤
努尔哈赤在哪一年出兵攻打辉发?|万历三十五年
莽古尔泰的父亲是谁?|努尔哈赤
努尔哈赤在灭掉乌拉后，在那边暂时停留了多久?|十天
褚孔格是被何人所杀?|王忠
萨尔浒之战在哪一年爆发?|万历四十七年
明朝时期，居住在乌苏里江流域的是哪一种女真人?|东海女真
「不下百万众」指的是哪一个政权的实力?|北元
「恭敬汗」指的是谁?|努尔哈赤
漠南蒙古是谁统一的?|达延汗
扎尔布的祖父是谁?|林丹汗
努尔哈赤的四旗制度，指的是以四色为四期代表，除了白、黄、红，还有哪一色?|蓝
女真文在哪一个朝代的中后期完全失传?|明朝
舒尔哈齐的哥哥是谁?|努尔哈赤
努尔哈赤在哪一年完成对建州女真的统一?|万历十七年
努尔哈赤建立后金的前一年是哪一年?|1615年
李成梁在哪一年的时候攻打古勒城?|万历十一年
「自居于不可胜，以待敌之可胜。」此话是何人所言?|努尔哈赤
「若以我为非理，可约定战期出边。或十日，或半月，攻战决战。若以我为合理，可纳金帛，以图息事。」是谁的主张?|努尔哈赤
「恁尔几路来，我只一路去」这句话是谁说的?|努尔哈赤
谁带领六旗之兵突击明军萨尔浒大营?|努尔哈赤
谁带领四千兵亲自坐镇赫图阿拉?|努尔哈赤
辽东的首府是哪一个城?|辽阳
李永芳原本要劝降谁?|罗一贵
努尔哈赤于何年攻打图伦城?|万历十一年
努尔哈赤生涯中唯一未能攻克之城是哪一座城?|宁远
龙敦的父亲是谁的三祖?|努尔哈赤
努尔哈赤在哪一年率兵星夜兼程赶往鹅尔浑城?|万历十四年
努尔哈赤花了多久时间终于完成了对建州女真的统一?|五年
陈朝是在哪一年建立的?|1225年
范师温在哪一年攻进国都升龙?|1389年
季牦在哪一年强迫顺宗退位?|1398年
陈朝的太学科试是模仿中国的哪一个朝代?|宋朝
《大越史记》一书在哪一年完成?|1272年
陈朝的农村家庭都会种植哪一种水果?|热带水果
「出家修行，刻苦精进，慧解超脱，为一方祖师」指的是谁?|陈仁宗
庞希云是哪一国人?|中国
《大香海印诗集》是谁的作品?|陈仁宗
《岭南摭怪》是哪一种文学作品?|神话传说
「赋诗多用国语实自此始」指的是哪一年?|1282年
「摇摆仪」是谁的发明?|邓路
李朝高宗时期在哪一年发生了叛乱?|1209年
惠宗于何年立陈氏容为「元妃」?|1211年
元朝于何年灭宋朝?|1279年
越南在哪一年的时候成为蒙古的朝贡国?|1258年
蒙古在哪一年之后要求越南国君亲自入朝?|1266年
脱欢在哪一年率军攻打越南?|1284年
忽必烈在哪一年第三度攻打越南?|1287年
忽必烈在哪一年过世?|1294年
龙州政府于何年和陈朝交涉?|1330年
张笑梅是哪一国的学者?|中国
谁被越南民众称为「神医」?|邹孙
《大统历》是谁赠与陈朝的?|明廷
「作奸肆侮，生隙构患，欺诳中国」这句话是谁说的?|明太祖
明廷在哪一年遣使到越求取龙眼、荔枝、槟榔、波罗密等植物?|1386年
陈嗣庆在哪一年的时候决意起兵，与李氏朝廷对敌?|1211年
占城政府从哪一年开始遣使到陈朝致送礼品?|1262年
乔治·马司培罗是哪一国人?|法国
制某在哪一年要求陈朝政府出征占城?|1352年
占王制蓬我于何年由陆路进入广威镇?|1382年
陈顺宗在哪一年登基?|1389年
黎季牦在哪一年派将军黄奉世伺察占城国境?|1391年
郭振铎是哪一国的学者?|中国
张显在哪一年过世?|1298年
《摩崖纪功文》在哪一年完成?|1336年
陈朝从哪一年开始出兵哀牢?|1334年
册马锡国在哪一个皇帝在位时，遣使到陈朝致送礼品?|陈仁宗
陈朝在哪一年于云屯设立察海使?|1349年
陈重金是哪一个国家的学者?|越南
陈柳在哪一年于大江起兵?|1236年
太宗于何年设讲武堂?|1253年
陈仁宗在哪一年传位给太子陈烇?|1293年
明宗在位时，在哪一年设置了检定文武官阶的制度?|1316年
陈宪宗在哪一年过世?|1341年
季牦在哪一年被任命为枢密院大使?|1371年
大麦世界年产量再年的时候到达1.47亿吨?|2016年
新干线指的是哪一个国家的高速铁路系统?|日本
台湾高铁是以哪个系统为基础?|新干线
科威特的政治体制?|君主制
柔佛隶属于哪一个国家所管辖?|马来西亚
柔佛州宪法在哪一年宣誓?|1895年
斯坦福·莱佛士是哪一国人?|英国
苏丹阿里在哪一年的时候与新加坡的英国人签订条约?|1855年
「现代柔佛之父」指的是谁?|苏丹阿布巴卡
今日的柔佛州主要依赖3种产业，除了旅游业、制造业，还有甚么产业?|农业
柔佛州在哪一年的时候，发生了一场百年大水灾?|2006年
全球经济在哪一年的时候开始大萧条?|1929年
某专权一代继一代地保持在某个血缘家庭中的一种社会概念称之为?|世袭
用体制外的策略，来改变现有体制，推动或阻止社会变革称之为?|社会运动
美国当代最有影响力的社会运动理论是哪一个理论?|资源动员理论
欧洲第二大岛是哪一个岛屿?|爱尔兰岛
爱尔兰在哪一年的时候，曾经成为英国的一部分?|1801年
国家元首概括有分类成几种?|四种
议会制国家中，通常谁只是一个象征?|国家元首
《关于1953年开展爱国卫生运动的指示》是在哪一年颁布的?|1952年
液晶在哪一个世纪之后，开始被广泛应用在显示技术中?|20世纪
有两个人被称为液晶之父，一个是莱尼泽，另一个是?|雷曼
德国三大豪华汽车制造商，除了BMW、宾士，还有哪一家?|奥迪
BMW是哪一场战争中德国的军需供应厂商?|第一次世界大战
哪一个条约中规定德国境内禁止制造飞机?|凡尔赛条约
恩斯特·海纳于哪一年在慕尼黑打破了当时的世界高速纪录?|1929年
第一辆BMW自制的汽车产品是在哪一年问世?|1932年
人类在前2千纪末期转变为什么时代?|铁器时代
当时世界的宗教和学术首都位于哪一个城市?|巴比伦
大英博物馆是在哪一年成立的?|1753年
大英博物馆在哪一年的时候将自然历史标本与考古文物分离?|1880年
现今的博物馆阅览室，以前是属于哪一个单位管理?|大英图书馆
在哪一年的时候，AT&T公司获得了同轴电缆艾美奖?|2008年
美国电话电报公司的股东在何处通过了合并案?|丹佛
东帝汶曾经是哪一个国家的殖民地?|葡萄牙
二战期间葡属帝汶被哪一国占领?|日本
以澳洲为首的国际部队在哪一年的时候进入东帝汶?|1999年
东帝汶基督教新教徒占全国人口多少百分比例?|2.6％
东帝汶足协于何年正式加入国际足联?|2005年
负责管理国立故宫博物院的单位是?|行政院
《行政院组织法》在哪一年修订完成?|1949年
「原子论」的创始者是谁?|德谟克利特
公元前440年后又被称为什么时代?|伯里克利时代
八思巴在哪一年创造「畏兀字」?|1269年
阿里嘎里字体是在哪一年诞生?|1587年
蒙古字拉丁化之议发生在哪一个世纪?|20世纪
负鼠居住在哪里?|南美洲
目前已知最早的有袋类化石在哪一个国家?|中国
何年通过了要盖新建筑的提案|2006年
「川大」是哪一所大学的简称?|四川大学
四川中西学堂是在哪一年创办?|1896年
当时西南地区仅有的两所国立大学，一所是国立成都师范大学，另一所是?|国立成都大学
成都工学院的合并案是经由哪个单位核准?|国务院
成都工学院的土木工程系在哪一年的时候整迁重庆?|1960年
华西协合大学是在哪一年成立的?|1910年
四川大学有多少个卫生部重点实验室?|3个
钱崇澍教授是哪一个学科的先驱?|植物学
伊利诺大学有三个分校，除了厄巴纳-香槟、春田，还有哪一个?|芝加哥
上海交通大学的世界大学学术排名在哪一年的时候，将伊利诺大学芝加哥分校并列北美地区第76位?|2007年
犹太人的居住地是哪里?|迦南
以色列国在哪一年成立?|1948年
社会主义锡安主义是来自哪一个地区?|东欧
第一次锡安主义大会在哪一年举行?|1897年
「巴尔科赫巴起义」在哪一年发动?|公元135年
居住巴勒斯坦的阿拉伯人和犹太人在哪一年的时候爆发了内战?|1947年
以色列国会于何年通过「回归法」?|1950年
罗波斯坦斯基是哪一国的思想家?|俄罗斯
「锡安主义」一词在哪一年首次出现?|1890年
犹太战争发生于哪一个世纪?|1世纪
支持回归锡安的犹太教民族在哪一个世纪越来越受欢迎?|十九世纪
匹兹堡会议于何年举行?|1885年
第一个犹太人住宅定居点和贫民所是在哪一个城市建立的?|耶路撒冷
锡安主义宣言在哪一年问世?|1896年
英属乌干达计划是在哪一年提出的?|1903年
以色列的第一任总统是谁?|魏茨曼
《德国必须灭绝！》是谁的作品?|西奥多·纽曼·考夫曼
Peel Commission是哪一国的组织?|英国
赛普勒斯是位于哪一个海洋上的岛国?|地中海
赛普勒斯主要有两大山脉，除了凯里尼亚山脉，另一个是?|特罗多斯山脉
会合-舒梅克号是一艘甚么东西?|太空探测卫星
会合-舒梅克号的研究数据对于哪一方面的研究贡献甚大?|小行星领域
1997年的时候，会合-舒梅克号在几月几号进行了第一次的太空姿态调整?|7月3日
基督教在哪一个世纪进入新教正统主义时期?|17世纪
神宗十分欣赏谁的才能?|王安石
公理会是哪一个宗教的传教组织?|基督教
五月花号帆船在哪一年抵达北美?|1620年
杨顺在哪一年的时候从暹罗来到福州?|1847年
中国东北对外开放的窗口是哪一个城市?|大连市
「苹果之乡」指的是哪里?|大连
金州新区于何年设置?|2010年
「创建软体产业国际化示范城市」指的是哪一个城市?|大连
大连铁路站建造于何年?|1937年
中国南北水陆交通运输枢纽指的是哪一个港口?|大连港
烟大火车轮渡在哪一年正式运营?|2008年
「黄金水道」指的是两个半岛之间的路线，一个是辽东半岛，另一个是?|山东半岛
大连周水子国际机场在哪一年开始建造?|1972年
G11鹤大高速公路丹东到大连段在哪一年开通?|2005年
大连的第一条有轨电车在哪一年通车?|1909年
欧洲殖民主义是存在于哪一个世纪?|19世纪
大连城市的特色是有很多且大小不一的什么?|广场
「田径之乡」指的是哪里?|大连
秦在哪一年统一六国?|公元前221年
明朝在哪一年开始专行卫制?|1395年
「辽参」指的是哪一种生物?|海参
大连最优质的图书馆是哪一个图书馆?|大连图书馆
大连自然博物馆在哪一年开始建造?|1910年
《国家重大历史题材美术创作工程作品大连巡回展》是在哪一个博物馆举办的?|大连现代博物馆
英国侵略者在哪一场战争之后频繁骚扰大连地区沿海?|第一次鸦片战争
达尔尼市是仿效哪一个城市的规划设计?|巴黎
大连市人民政府和旅大行政公署在哪一年的时候成立?|1945年
2011年的世界经济论坛在中国的何处举行?|大连
大连地区有四种地形，除了丘陵、海岩阶地、山地，还有哪一个?|岛屿
大连地区的陆岛海岸线总长多少公里?|1906公里
大连市依照全球气候分类，可以被归类为哪一种气候?|暖温带大陆性季风气候
《大连市居住证暂行办法》在哪一年开始实施?|2009年
土库曼80%的领土位于何处?|卡拉库姆沙漠
台证所于何年和中华电信正式签约兴建新电脑中心?|2008年
中华民国政府四大公营事业的公司除了台湾纸业、台湾水泥、台湾工矿，还有哪一个?|台湾农林
证交所第一次发起人座谈会在哪一年举办?|1961年
台北101是在哪一年完工?|2005年
在地球轨道进行显眼的广告在哪一年之后被禁止?|2005年
哪一个国家的照明工程师公会提供光害制造的问题及如何减少光害的指引?|英国
多伦多是哪一个国家的城市?|加拿大
佛教有几个主要的派别?|三个
《摩诃僧祇律》是哪一个部的佛教所完成?|大众部
净土法门在哪一年传到日本?|847年
英格兰唯一的自然遗产在哪里?|德文
刘少奇在哪一年接任中华人民共和国主席?|1959年
黄菊在哪一年过世?|2007年
《为人民服务》是在哪一年发表?|1944年
《中华人民共和国国旗法》在哪一年颁布?|1990年
许多得分后卫可以兼任哪一个位置?|小前锋
澳门的殖民地时代在哪一年正式结束?|1999年
西草湾之战谁战败?|葡萄牙
《中葡和好通商条约》是在哪一年签署的?|1887年
《中葡联合声明》是在几月几号签订的?|3月26日
亚利桑那州的第二大城市是?|土桑
境外哪一个国家拥有最多乌克兰族?|俄罗斯
乌克兰第一所专业的音乐学院在哪一个世纪成立?|18世纪
「小俄罗斯人」指的是?|乌克兰人
「史前乌克兰人」指的是哪一个部落?|东斯拉夫人部落
「国家构造的千年传统」是哪一国的史学家的主张?|乌克兰
基辅罗斯在哪一年遭到蒙古人的入侵?|1236年
乌克兰人民共和国在几月几号独立?|1月25日
在哪一年的时候，红色恐怖导致的离心作用形成一个主权独立的乌克兰出现?|1991年
乌克兰受道两个地理位置的影响很深，一是东欧，另一个是?|中欧
金帐汗国在哪一年摧毁基辅?|1240年
乌克兰族人有信仰者通常是信奉哪一个宗教?|东正教
第一次全国苏维埃代表大会在哪一年举行?|1931年
哪一个语言主要通行于中国江苏南部、苏北启东、海门、通州和靖江的部分地区?|吴语
吴语形成的时间最早可以追溯至何时期?|商周时期
永嘉之乱在哪一个世纪爆发?|4世纪
《集韵》是来自哪一个朝代?|北宋
《三言》是谁的作品?|冯梦龙
《江南普通话注音符号挂图》是哪一个出版社出版的?|华东人民出版社
《诗经》中有没有吴歌?|没有
「推广普通话」政策是哪一个国家推行的?|中华人民共和国
内部何时重新设立中国社会科学院?|1977年5月
舞蹈演出在哪一种舞蹈被发明后脱离了舞剧的范畴?|现代舞
波兰第二大城市是哪一个城市?|克拉科夫
铁路机车是在哪一个世纪发明的?|19世纪
全球最后一个制造大型蒸汽机车的国家是哪一个国家?|中国
日心说认为宇宙的中心是?|太阳
伽利略在哪一年完成天文望远镜的制作?|1609年
二十世纪福斯影片公司的总部位于一个国家?|美国
二十世纪图片公司在哪一年成立?|1930年
爱沙尼亚在哪一个政权的统治中，造成大量的环境污染?|苏联
英属印度解体后诞生两个新国家，一个是巴基斯坦自治领，另一个是?|印度联邦
全印穆斯林联盟于何年正式成立?|1906年
蒙巴顿声明将在哪一年透过将英属印度分为印度和巴基斯坦两个国家的方式来实现印度的独立?|1947年
印度教徒和伊斯兰教徒在哪一个地区爆发了难以计数的冲突和暴动?|旁遮普地区
甘地在哪一年过世?|1948年
巴基斯坦于何年进行了核试验?|1998年
马太福音是来自哪一教会?|耶路撒冷教会
中华民国政府于何年开放民众赴中国大陆探亲?|1987年
人类社会由前工业到工业状态的社会及经济改变过程指的是?|工业化
文一是哪一个大学的教授?|清华大学
淝水之战在哪一年爆发?|383年
386年的时候拓跋珪建立哪一个国家?|北魏
弗次瓦夫是隶属于哪一个国家的城市?|波兰
哪一种语言是曾经在弗次瓦夫具有优势地位的语言?|德语
罗马教廷在哪一年设置了弗次瓦夫教区?|1000年
1300年的时候，当时的波兰国王同时也是哪一国的国王?|波希米亚国王
神圣罗马帝国在哪一年的时候正式灭亡?|1806年
莱比锡战役一百周年展览在哪一年举办?|1913年
纳粹屠杀犹太人是发生在哪一场战争中?|第二次世界大战
卡尔·汉克是属于哪一个党派?|纳粹党
德国在《波茨坦协定》中丧失领土上最大的一座城市是哪一个城市?|布雷斯劳
弗次瓦夫地区主要是依赖哪一种产业?|工业
在哪一年的时候，百年厅被列为世界文化遗产?|2006年
英国如何管辖?|议会制
哪一种能量的传播方向垂直于电场与磁场构成的平面?|电磁辐射
电磁波在何处时的传播速度可以到达光速?|真空
专门研究电磁波的物理行为的学问是?|电动力学
