从哪一天开始在广州市内骑摩托车会被没收？|2007年1月16日
英国曾经统治过哪一个城市|香港
中文在香港属于什么语言|法定语言
香港治安由哪一个单位负责|保安局
香港罪案率看起来如何|最低
香港曾被什么国家接管|英国
小学是几年基本教育|六年
市民什么东西在往下降|实际收入
海禁迁界是哪一个皇帝制订出来的|康熙
香港什么系统优良|医疗
精神科医院在什么医院可以看到|公立医院
香港中文大学医学院和谁有合作|公立医院
香港看不到什么医学院|动物医学院
受英国人影响而喜欢吃什么|下午茶
苏豪区是什么样的文化|饮食文化
香港境内合法的运动是什么|赌博
足球联赛被什么给取代掉了|超级足球联赛
高礼泽在比赛完获取什么|银牌
英国曾统治过哪里|香港
黄飞鸿电影成为一个什么的样子的电影|最长寿
为什么会有迁界令是因为谁的缘故|郑成功
免费报章当时共有几份|五
第一次鸦片战争后签订什么条约|中英南京条约
华夏民族早期主要活动范围在哪里|焦作
王维是什么时代的人|唐代
月山寺的旧名是什么|明月山寺
向秀属于的是什么家|散文家
李商隐是画家还是诗人|诗人
焦作是从什么演变而来|焦枣
煤田往西可以到达哪里|博爱
矿产主要分布哪一部|北部
广会园区在哪里可以看到|孟州
修武县因建成了哪个园区而被确定为省级畜牧业发展重点县?|西夏庄园现代农业园区
焦作是哪一个地方的通道|中原
焦作工学院的后代是什么学校|中国矿业大学
修武县以北可以看到什么风景区|云台山风景区
怀良亲王是哪一个朝代的人|南朝
足利义曾攻击过哪一个地方|京都
南北朝时代花了多久时间才结束|五十六年
谁建立了唐朝|李渊
长安逐渐发展成什么城市|繁华
哪一个人逼唐昭宗迁都洛阳|朱全忠
东城西城集中哪一个地方的商业|长安城
日本哪一部称为长安|西半部
明太祖指的是哪一个人|朱元璋
交通大学位于哪一个地方|西安
宫殿遗址在什么地方可以看到|西安
蓝田人建立了什么时期|仰韶文化时期
社会已经出现了什么分工|简单
东都雒邑主要是控制哪里|东方
秦朝首都是在什么地方|咸阳
刘邦曾经打败过谁|项羽
秦兴乐宫重新命名为什么|长乐宫
汉惠帝建立了什么东西|城墙
朝政的地方在哪一个宫殿|未央宫
杨坚将首都定在哪一个地方|汉长安城
花了多久时间兴建皇城|九个月
中世纪后期有何严重的疾病肆虐?|黑死病
仪式追悼死者是指什么|祭
从什么时候开始有祭祀文化|汉族
谁宣布土改工作完成|叶剑英
毛泽东发起什么运动|反右运动
广东逐渐发展成什么|农业
赵紫阳的报告被谁肯定|中共
哪一个党把人民逼反|中国国民党
谁曾经担任过总理|赵紫阳
赵紫阳的妻子姓什么|刘
赵修业在哪里改名字|武汉
赵紫阳曾经在哪一个城市念书|武汉
减租减息运动是谁提倡|赵紫阳
谁担任过农村工作部部长|赵紫阳
赵紫阳可以决定什么决策|土改
巴勒斯坦第一个加入的联合国机构为何?|联合国教科文组织
到2015为止有多少国家承认巴勒斯坦为国家?|136个
各国于哪年签署公尺制公约?|1875年
世界协调时间何时被提出?|1960年
基督教的经典为何?|圣经
基督教的神是谁?|耶稣基督
太阳系小天体变大可能会升级为何?|矮行星
佛罗里达是美国的第几个州?|27个
滚石唱片在哪一年创立?|1980年
台湾第一场跨年晚会是在哪时举办?|1986年12月31日
1997年，滚石唱片和哪家电视公司合作创立滚石音乐台?|东森电视
世界杯史上第一支在美洲国家举办的世足赛里夺冠的欧洲国家足球队是哪个国家?|德国
国际足总在什么时候正式确认巴西将承办2014年世界杯足球赛?|2007年10月30日
《尼布楚条约》中，约定中国与俄国以外兴安岭和哪条河为分界?|额尔古纳河
呼伦贝尔盟地区在1979年后划归何区管辖，东北也大致呈目前面貌?|内蒙古自治区
黑龙江省的哪个地区原为大片沼泽、湿地，曾被称为北大荒，后开辟为耕地?|三江平原
中国最低气温记录是在哪个城市所创下的?|漠河县
风能是近年颇被看重的，在中国黑龙江省春季的松嫩平原和哪个地区风能最丰沛?|三江平原
知名后卫魔术强森，是在哪一年的选秀会上被湖人选走?|1979年
欧尼尔后来被交易到哪个球队，也象征著湖人的欧尼尔时代结束?|迈阿密热火
卡内基基金会归类的特高研究型大学，在美国只有几所大学获此殊荣?|96所
南加大首度开设USC校海外的EMBA课程是和他国哪所学校合作?|上海交通大学管理学院
欧特云可能含有1-2%的何种星体?|小行星
是谁开创了人类和外星人互相对抗的传统情节?|威尔斯
许多评论家认为科幻小说诞生元年是哪一年?|1895年
在科幻小说的发展上，20世纪时以哪个事件的发生分为前后期?|第二次世界大战
中国科幻小说之父是谁?|郑文光
《泰晤士报》的第一位总编是谁?|约翰·沃尔特
东罗马帝国凭借著什么屡次击退来袭的阿拉伯舰队，并使曾属于帝国的亚美尼亚地区开始得到恢复?|海军
罗马教皇利奥三世在800年正式加冕谁为罗马人的皇帝?|查理大帝
巴西尔二世去世后，东罗马帝国陷入混乱，其重要的原因是谁干涉?|佐伊
对东罗马来说，最为致命的是突厥语族的塞尔柱帝国在1071年占领了哪里?|小亚细亚
为恢复因杜卡斯王朝的滥发劣币而破产的帝国货币信用，阿莱克修斯从何时开始推展币制改革?|1092年
罗马天主教十字军主要由德意志人和什么人所构成?|诺曼人
东罗马和威尼斯同盟后，原居于垄断的东罗马商人逐渐被威尼斯、热那亚和哪里的商人?|比萨
科穆宁王朝的权力，本来是依靠地主贵族和谁的支持?|威尼斯
在第四次十字军东征中，十字军在阿列克修斯四世和谁的怂恿下攻打东罗马?|恩里科·丹多洛
面对十字军的攻击，东罗马军队溃败，阿列克修斯三世逃出首都转往哪里避难?|色雷斯地区
鄂图曼帝国首次与东罗马帝国发生直接冲突是在西元几年?|1301年
哪一年东罗马约翰五世皇帝被迫承认鄂图曼帝国是他的宗主国?|1371年
1390年，鄂图曼军队到达多瑙河，但由于谁进攻他们的亚洲领土迫使其回国?|帖木儿
1396年9月28日，最后一次十字军东征军在哪场战役中完全被打败?|尼科堡战役
尽管东罗马帝国的文化和语言大多数是哪个文明的，但其皇帝和臣民却将自己视为罗马人?|希腊
拜占庭这一词在17世纪以后，由于谁的使用使得成为普遍大家对于东罗马帝国的称呼?|孟德斯鸠
在一般的定义中，中世纪的结束是哪一年?|1453年
东罗马时期，每年的12月25日被称为什么节日?|12月25日
执事长官是帝国早期最重要的高级官吏，但7世纪后，其职掌多分散出去掌握在谁手上?|尚书
从何时开始，随著东方省区的丢失和帝国军事形势的严峻，大区总督一职被取消?|7世纪上半叶
拜占庭帝国的教会、文学和商业的共同语言是哪一个语言?|希腊语
东罗马基督教会的神学体系在哪场会议后正式确定下来，此后再也没有发生重大变动?|第七次宗教会议
君士坦丁在即位后决定在帝国东部建造新都城，而这也就是我们后来所说的哪个城市?|君士坦丁堡
东罗马人所说的四艺是算术、几何、音乐和哪门学科?|天文
东罗马医学是在古希腊医学体系上发展起来的，其中谁提出的体质理论被广为接受?|希波克拉底
东罗马时期边防军需服役多久?|24年
11世纪后，帝国以什么来取代职业军队?|雇佣兵
拜占庭海军在帝国的早期阶段备受重视，主要原因是为了保护帝国哪一项命脉?|海上贸易
东罗马帝国灭亡后，哪国以宣称继承帝国意志，并以第三罗马自居?|俄罗斯
著名的圣索非亚大教堂在哪一年开始动工?|530年
埃及原先在东罗马的控制下，直到哪一年完全落入阿拉伯人手中?|640年
东罗马遭到阿瓦尔可汗洗劫，东罗马甚至一度考虑迁移都城至何处?|迦太基城
现代奥林匹克运动一百周年是在哪一年?|1996年
莫斯科依著什么而建造?|莫斯科河
亚洲足球联盟是哪一年在菲律宾的马尼拉成立?|1954年
亚洲足协举办的亚足联冠军联赛，是取亚洲区前几个较强的国家参赛?|14个
在亚足协的会员协会中，目前仅有哪个协会尚未加入国际足总?|北马里亚纳群岛
在2002年后，亚足协在亚冠联赛、世界杯申办等多项牵涉到亚足协的事务中作出明显倾向于何者的决定?|西亚
巴拉那河是南美重要河流，其流域面积以哪个国家为主占了约一半?|巴西
巴拉那河是南美重要河流，其最大支流为哪条河流?|巴拉圭河
哪场战事是郑成功生涯当中最辉煌及重要一役，大败收场使郑成功反清大业受到重大挫折?|南京之战
后台湾部份尊崇郑成功的人，便向台南市文献委员会提议，希望将郑成功正名为?|朱成功
虽同为反清势力，但哪位将领曾袭击曾拒绝郑成功联军的要求并出兵为难?|郝尚久
台湾林业早期发展相当繁荣，其中阿里山铁路的起点从哪个县市开始?|嘉义市
有台湾民主圣地支撑的是哪个县市?|嘉义市
第一张针对大众发行的信用卡大约出现在什么年代?|20世纪50年代
大约在十九世纪八十年代，英国哪一个产业发展出所谓的信用制度来进行支付?|服装业
喀麦隆住了超过多少的种族?|200
民国初年有所谓五大名校，该五所分别为武汉大学与北京大学、清华大学、中央大学和哪一所?|浙江大学
在哪一年武汉大学将学校迁回武昌珞珈山?|1946年
十七世纪以前，早期研究电的多为什么职业的人?|术士
谁发现了电流的磁效应?|汉斯·奥斯特
交流电是谁首先发现的?|尼古拉·特斯拉
研究生命的科学叫什么?|生物学
北赛普勒斯是目前尚未被国际承认的政治体，目前只有哪个国家承认?|土耳其
赛普勒斯岛上的民族属于希腊人与哪族人的族裔?|古代腓尼基人
1925年土耳其与哪国签订洛桑条约，正式将赛普勒斯转移给该国作为殖民地?|英国
英国统治赛普勒斯期间画起了分隔区，而区分的依据是按照什么来分?|宗教
赛普勒斯相当特别，该地的军队分别由希腊与土耳其共同驻扎，人数比例为?|3比2
赛普勒斯首任总统是谁?|马卡里奥斯三世
赛普勒斯问题的争议上，还包含欧盟的介入，因赛普勒斯于何时已正式加入欧盟?|2004年5月1日
赛普勒斯岛上有被称为绿线的军事喊冲区，这是当时哪国介入后划分的?|土耳其
《编年史》摈弃了古老的神农格，在风格上明显模仿谁?|荷马
谁是黄金时代成就最高的抒情诗人，政治理念上是坚定不移的共和派?|卡图鲁斯
孟加拉哪一年独立?|1971年
大部分国土海拔低于多少?|12米
成王赋予了哪个国家郊祭文王、奏天子礼乐的资格，此在该国立国之初就奠定了丰厚的周文化基础?|鲁国
在我们一般的可见光中，什么颜色的波长最短?|紫色
会造常我们皮肤晒伤起水泡或脱皮的是哪一种紫外线?|中紫外线
黄河文明发源于黄河中、下游地区，正式起始约于哪个时期?|公元前1800年
长江文明发源于长江的长三角、两湖、川渝等地区，大约于何时形成?|公元前2000年
美国人类学家罗伯特·卡内罗认为受到什么的影响，人类需要向外扩张，就易出现中央集权的阶层?|地理环境
江苏最大河流为何?|长江
江苏的经济何时达到巅峰?|明清
参加奥斯卡金像奖除短片外，长片的影片长度至少要几分钟以上?|40分钟
奥斯卡金像奖每个奖项会选出几个入围者?|五个
第一届奥斯卡金像奖颁奖典礼举办于何时?|1929年5月16日
第一届奥斯卡金像奖颁奖典礼共计约有多少人参与?|约270人
厦门大学是由谁所创办?|陈嘉庚
哪所学校被誉为中国最美丽的大学?|厦门大学
抗日战争爆发后，厦门大学1938年在长汀复课，当时在校学生仅剩多少人?|198人
国民政府期间，哪所大学拜国外学者称为加尔各答以东最好的大学?|厦门大学
慈禧的父亲因面对谁的进攻弃官逃跑，而后被清廷罢免?|太平军
在两宫太后的努力下，清朝混乱的局势逐渐趋于稳定，史怎么称呼这情形?|同光中兴
义和团进入京城后，情况无法控制，甚至杀死德国以及哪国大使酿成大祸?|日本
长城在春秋时期便已经开始修筑，当时有主要两个目的，一个是拒胡，另一个目的是?|互防
秦始皇修筑长城，动用了多少的人力才完成?|30万人
明朝长城的东端起点是哪里?|虎山长城
天下第一雄关是指哪一关?|嘉峪关
长城体系不单只是城墙而已，而是一整个系统的防御体系，在何时这系统逐渐完善?|秦汉
自从二战后什么型式的战舰开始普遍后，无空优能力的战舰就逐渐被淘汰?|航母
第一艘以鱼雷为主武器的军舰是哪个国家制造的?|英国
一战后各国签订哪一条约来限制各国战舰的总吨数?|伦敦海军条约
因为哪条河川古称渝水，故重庆又简称渝?|嘉陵江
因为哪一场战争，国民政府定重庆为战时首都?|抗日战争
中国面积最大的直辖市是哪一个城市?|重庆
首先实行户籍改革政策的是哪一个城市?|重庆
全国第四大流动人口居留城市是哪一个城市?|重庆
1941年12月，韩国流亡政府的临时驻地在哪里?|重庆
工业是重庆相当重要的产业，其中又以哪一种工业最重要?|重工业
纳粹德国的中心主义为何?|种族主义
若望二十三世是在几岁当选教宗?|77岁
阿拉伯语在语言的分类上属于哪一语系?|亚非语系
除了英语、法语和西班牙语之外最多国家使用的官方语言是哪一种语言?|阿拉伯语
哪种是目前唯一在官方及正式场合使用的阿拉伯语?|书面阿拉伯语
中世纪时期，书面阿拉伯语成了欧洲文化的重要载体，特别是在科学、哲学和哪一领域?|数学
中华人民共和国的高速公路建设在哪年开始起步?|1984年
《凡尔赛条约》签署后，在何时正式生效?|1920年1月20日
《凡尔赛条约》的签署国各个怀不同想法，哪个国家主张严惩并尽可能的削弱德国?|法国
哪个国家在一战时被德国和俄国侵略，后在美国威尔逊的民族自决下重新独立?|波兰
威尔逊主张让波兰独立，并令其取得哪个海洋的出海口?|波罗的海
一战后谈判开始时，由五个战胜国的首脑和谁组成了十人委员会?|外长
国际联盟在哪一日正式宣告成立?|1920年1月10日
凡尔赛条约中，德国在中国山东的特权移交给哪国?|日本
哪个国家认为凡尔赛条约对德国极为苛刻，恐怕将来会成为欧洲的麻烦，之后拒绝签署凡尔赛条约?|美国
德国民众在纳粹的煽动下，弥漫著一股将战败的因素归给谁的气氛?|犹太人
纽西兰岛上多以移民居多，而这些移民多来自哪个大陆?|欧洲
纽西兰经济发达，属于已开发国家，当中又以什么产业为经济支柱?|畜牧业
纽西兰的生活水准相当高，在联合国2014年人类发展指数排名第几?|第7
罗马是什么文明的起源地?|古罗马文明
五代十国中历时最短的政权是哪一个?|后汉
宋朝皇帝中执政最长的皇帝是哪一位?|宋仁宗
美国总统艾森豪在何时对国会正式否认雅尔达秘密协定的存在?|1953年2月20日
在何时中华民国修改《台湾地区与大陆地区人民关系条例施行细则》将外蒙古排除在中国大陆地区之外?|2002年1月30日
哪一年中华民国行政院通过了废除蒙古盟部旗组织法及管理喇嘛寺庙条例决议?|2004年
北洋政府与俄国签订呼伦贝尔条件八款，由谁取得外蒙古经济利益，并限制中国在此主权?|俄国
国际货币基金执行董事会由理事会委托，该会由几位执行理事组成?|24名
在IMF，若重大改革事项要通过该提案不能被哪国否决?|美国
日耳曼统治下的瑞士前后分裂出很多小国，最后这些国家于536年被谁统一?|法兰克王国
在哪个王朝的强大压力下，瑞士的三个谷地共同体：乌里、施维茨和下瓦尔登签订三州同盟协定?|哈布斯堡王朝
19世纪40年的瑞士联邦议会由自由民和什么阶级占大多数?|城市资产阶级
瑞士建国以来参与的武装冲突非常少，1847年政府和哪个联盟发生瑞士史上最后一场武装冲突?|独立联盟
国际天文学联合会在哪一年于布鲁塞尔成立?|1919年
俾斯麦在哪一年被威廉二世赶下台?|1890年
凡尔赛条约的签约地点在哪里?|凡尔赛宫的镜厅
18世纪后期，波兰王国屡遭瓜分，终于在哪一年王国不复存在?|1795年
普鲁士因击败法国有功，在维也纳会议上获得了补偿，得到40%的萨克森领土与大部分的什么地区?|莱茵兰地区
1834年成立的德意志关税同盟将谁排除在外?|奥地利帝国
有人认为维也纳会议中将莱茵兰地区给普鲁士是恶作剧，但没人料到该区之后发现什么天然资源?|煤矿
1866年，普奥战争爆发，最后谁取得胜利?|普鲁士
在世界各个大陆中，哪个地区的新生儿死亡比例最高?|非洲
二战时期，哪种发动机可以成狭长型排列，对于高速战斗机相当重要，许多有工业能力国家首要选择?|液冷发动机
全球资讯网正式向大众公布是什么时候开始的?|1991年8月
全球资讯网协会何时成立?|1994年10月
中国历史上唯一获普遍承认的女皇帝是哪一位?|武则天
底特律最初是由哪国人所建立?|法国
美国过去50年中城市人口削减最多的城市是哪个城市?|底特律
2005年12月29日，外管局批准几家银行开展做人民币市商服务?|13家
2012年6月起，中日两国启动人民币和日元直接兑换，绕过哪种币别进一步实现人民币国际化?|美元
离岸人民币市场在哪一年开启?|2003年
中华人民共和国成立后，土地改革运动由谁所主持带领?|刘少奇
刘少奇在哪一年终于全面平反并恢复其作为党和国家领导人的一切名誉?|1980年
刘少奇在什么样的背景下，被指责是叛徒、内奸、工贼?|文化大革命
1966年8月中共八届十一中全会，毛泽东将炮打资产阶级司令部的目标指向刘少奇，同时中共第二号人物也由谁接替?|林彪
1969年4月1日，九大正式会议上，林彪报告中提到真正的无产阶级革命是指之前哪项活动?|文化大革命
刘少奇在哪一年加入共产党?|1921年
刘少奇在哪一年以个人身份加入中国国民党?|1924年
安源路矿工人大罢工的主要带领人是刘少奇和哪一位?|李立三
《论共产党员的修养》对广大中国共产党党员提出了党性锻炼的要求，是谁的演讲?|刘少奇
从什么时候开始，刘少奇才算是逐渐进入中共决策核心?|1942年12月2日
在毛泽东赴重庆同国民党总裁蒋介石进行重庆谈判期间，由谁在延安代理中国共产党中央委员会主席职务?|刘少奇
大部分的小行星族都在哪里?|小行星带
世界最大的公共广播公司是哪一家?|英国广播公司
根据1904年的无线电法案，当时英国由哪个单位负责颁发电台广播牌照?|邮政局
BBC第一个向英国本土以外地区广播的电台频道是哪一个频道?|BBC帝国服务
现今BBC有几个电台?|10个
BBC TWO并没有肥皂剧或新闻节目，其节目以什么样的类型为主?|娱乐
2009年1月14日，BBC开播波斯语电视频道，但该频道也引起英国和哪国的外交纷争?|伊朗
民国十六年北伐军节节胜利，进入南京后，发生了什么事情，而这也成为国共分裂的重要前奏之一?|南京事件
古罗马在共和时期的对外扩张，都是以哪里为中心，而这导致无法控制较为偏远的省分?|罗马城
西元395年罗马皇帝狄奥多西一世立下遗言，把帝国东部分给长子阿卡狄乌斯，西部分给谁?|霍诺里乌斯
罗马的第二次四帝共治最后被谁终结?|君士坦丁
香港有何美誉?|东方之珠
一般认为存在主义的先驱是尼采和谁?|祁克果
主带慧星轨道形状?|圆形
很多现象涉及到光的波粒二象性，只有什么能够解释这些现象?|量子力学
哪种理论的模型最为容易使用，它将光当作射线，能够直线移动，并且在遇到不同介质时会改变方向?|几何光学
眼睛视网膜的细胞在眼球内侧的后面，只有一点是视神经离开眼球的路径，我们称该点为?|盲点
视杆细胞负责哪种视觉?|黑白视觉
海市蜃楼是光因为什么原因下空气折射率发生变化而产生的光学现象?|不同温度
台湾第一张邮票发行于何时?|1888年
哪种票幅比较大，设计印刷精致，图案丰富，不允许重印，有特定的发售期限?|纪念邮票
通信成为一般百姓也能负担的起的行为，和什么东西的采用息息相关?|邮票
英国使用邮票的制度何时正式开始的?|1840年1月10日
一般国家的邮票依规定都必须印上国名，唯有哪个国家例外?|英国
阿拉巴马州是美国第几个州?|第22个
沸腾则是在液体的整个部分发生的变化，处于沸点的液体的所有分子都会怎么样?|蒸发
多伦多大学的前身为?|国王学院
多伦多大学从哪一年开始招收女生?|1884年
加拿大的第一个学术出版机构是哪一个机构?|多伦多大学出版社
在哪一年罗斯勋爵建造了一架新的望远镜，能够区分出椭圆星系和螺旋星系?|1845年
断杼教子、孟母三迁是和哪位知名历史古人相关的故事?|孟子
华沙公约组织的成立是为了对抗哪个组织?|北大西洋公约组织
华沙公约组织在亚洲，除了中国和哪个国家之外，其他的社会主义国家都是华约组织观察员?|朝鲜民主主义人民共和国
美国在1940年时的士兵仅有多少人?|25万
美国因二战所说的国耻日是哪一天?|12月7日
原始越南语的家园在哪条河流流域?|红河
越南语在发展的过程中受到哪个语言的强烈影响?|汉语
越南的书写文字一直到17世纪，什么文字的出现才有了重大转折?|罗马字
越南的罗马字是随著哪国殖民者的到来，才开始逐渐普遍被使用?|法国
东京义塾在越南所扮演的角色就如同20年代台湾的哪个社团组织一样?|台湾文化协会
此机构登月的计划叫什么?|阿波罗计划
细胞核是做什么的?|维持基因的完整性
细胞的核孔是由什么组成?|核孔蛋白
美国护理师这个职业是在什么时期之后才真正开始职业化的?|南北战争
美国南北战争正式开打是在哪一年?|1862年
美国南北战争期间，宗教也产生分裂，南方哪位宗教领袖用加尔文宗的思想为奴隶制合理化?|罗伯特·刘易斯·达布尼
美国南北战争期间，南方遭受严重破坏，直到现在美国哪个地方的市民仍拒绝纪念美国独立日?|维克斯堡
在两次世界大战之间不少学者将独裁政体分为四类型：宪政独裁、共产独裁、反革命独裁及哪一种独裁?|法西斯独裁
中共自2001年开始接受资本家加入共产党，而此政策是谁所决定的?|江泽民
锡克教徒第一次加入美军可回朔至何时?|第一次世界大战
因需通过火星减速，将有15分钟没有阳光，此举将有可能使罗塞塔号失去电力，故此计划又被称为?|十亿美元的赌博
佛罗里达是被谁命名的?|德莱昂
牙买加于何年独立?|1962年
安息一直是塞琉古帝国的大患，在帝国晚期哪位皇帝甚至被安息俘虏?|德米特里二世
塞琉古王朝面临内忧外患，最终被谁所灭?|罗马
李白去世后，宣歙观察使范传正根据李白生前的遗愿将李白墓迁至何处?|当涂青山
谁的诗歌取材广阔，想像丰富，豪迈奔放，为唐诗冠冕，并深深影响后世多名诗人?|李白
唐代哪位诗人被誉为诗侠、诗仙?|李白
日本古坟时代派遣公使的最大目的是什么?|巩固日本的国际地位
乙巳之变后，该政变主导者中臣镰足被天皇赐姓为?|藤原
中华民国于何年修改直辖市自治法?|1994年
中国大陆和两个特别行政区各自使用自己原来的法律体系，香港是采用何种法?|普通法
中共立国初期多由共产党主导，但后来因什么事件让人们意识到法治的重要?|文化大革命
19世纪前半的欧洲发生了一连串的战争与革命，造成了一些思潮的形成，我们称之为什么?|浪漫主义
19世纪末日本透过什么改革来使其成为亚洲第一个现代化国家?|明治维新
中国大陆部份省区所称的𠊎话、土广东话所指的是哪种语言?|客家语
中国大陆使用客家语的人越来越少，现在客家语多以哪一种形式存在个别村落中?|方言岛
台湾负责客家文化相关推广、维护作业的政府机关单位是?|行政院客家委员会
温度计是谁发明的?|伽利略
狭义相对论是由谁提出的?|爱因斯坦
月球上的自由落体实验发生在什么时候?|1971年8月2日
伽利略的加速度推论后来深深影响了哪一理论?|牛顿第一运动定律
教廷方面在何时才发表声明，承认教会对伽利略在科学的错误判决?|1992年10月31日
伽利略所研究的中心问题就是仅在重力影响下的落体运动问题，也推翻了先前谁的理论?|亚里士多德
2011年8月5日发射的无人太空探测船朱诺号带有一块铝质纪念牌，上面刻了谁的自画像?|伽利略
所有天体都围绕著地球运转是过去较被接受的推论，而这理论的著名支持者是谁?|亚里士多德
在伽利略自制望远镜之前，哪一位英国人就已经用窥视镜来观测月球了?|托马斯·哈里奥特
汉朝与西方的何国家辉煌并立?|罗马帝国
通常认为古典时代起始于古希腊最早的文字记录是哪一本著作?|荷马史诗
古风时期晚期的陶器风格转变为黑彩陶器，这种陶器是在哪里被发明出来的?|科林斯
一般认为古典希腊时期结束是在哪一年?|前323年
罗马帝国最后一位说拉丁语的皇帝是谁?|查士丁尼
希腊化之后的拜占庭人以及他们的后裔依然自称罗马人，一直持续到哪一年希腊建立?|1832年
第三罗马指的是哪个国家?|俄罗斯
法国的先贤祠、凯旋门等建筑，很明显是在向哪个文明致敬?|古罗马
哲学方面，托马斯·阿奎那的神学成就大多源自谁的思想?|亚里士多德
911恐怖攻击中，至少造成多少人死亡或失踪?|2,749人
遭911攻击的世贸大楼在何时原址复建完成?|2006年
为捕捉911恐怖攻击的首脑宾拉登，美国在遭受恐攻当年的何时开始对阿富汗发动军事攻击?|10月7日
在何时美国正式宣布911恐怖攻击后续清理工作完成?|2002年5月底
911恐怖攻击后，美国国内反恐情绪高涨，而这也使哪国面对恐怖主义更加轻松?|以色列
高雄捷运开始营运后亏损连连，为避免破产高捷公司在何时修改和政府的合约?|2012年9月
高雄捷运开始营运后亏损连连，但终于在哪一年开始首度出现获利?|2016年
一个吸收所有波长的光我们看起来会是什么颜色?|黑色
一个物体的光学特性是由什么因素决定的?|光谱
人眼中的视锥细胞和视杆细胞都能感受颜色，一般人眼中有几种视锥细胞?|三种
织女星距离地球有多远?|25.3光年
针对天体摄影的天体摄影术发明于何时?|1840年
织女星在每年的哪一天最接近天顶?|7月1日
哪一种政治思想理念主张基本人权主张包括生命权、自由权、财产权等?|自由主义
美国，汤玛斯·杰佛逊所谓的与任何人自由贸易；不与任何人结盟，这是何种主义的体现?|不干涉主义
一战后，许多自由主义思家认为政府应该在避免社会主义的同时也对经济做出一些干涉，此主义被分类为?|现代自由主义
海耶克而言他认为抹灭经济的自由即代表抹灭哪项的自由?|政治的自由
在战后的自由主义中，哪种自由主义成了主流?|现代自由主义
美国独立战争后制定的宪法，规定了政府应该在具备什么条件下对人民进行管理?|人民的支持
人民主权的先驱是哪一场革命?|光荣革命
在欧洲，提出以法律限制君王权力的原则最早是由谁阐述的?|孟德斯鸠
卢梭主张每个人生下来都是自由的，但用什么方法将能充分的将人们限制在社会的规范中?|教育
美国革命中，基本上都是对于洛克理念的共鸣，只是将洛克的「财产」一词换成什么?|追求幸福
法国大革命后造成混乱，导致哪位人物从陆军司令一路窜升至执政官、皇帝?|拿破仑·波拿巴
自由主义的概念从原本改革现有政府的主张，变为要求全盘的改变，和哪一主义的盛行有关?|浪漫主义
在美国和法国革命的鼓舞下，南美洲的哪位英雄带领多国取得独立?|西蒙·玻利瓦尔
法国首部宪法何时开始实行?|1793年
哪个事件增加了人类工业产能并带来物质富裕，但也对传统社会秩序产生彻底的分裂，产生新的社会问题?|工业革命
新视野号是在何时发射升空的?|2006年1月19日
波音公司是哪一个国家的公司?|美国
波音公司的前身成立于何时?|1916年7月1日
二次大战期间，美国在欧洲战场的主力轰炸机是哪一款?|B-17
20世纪前半飞机机翼多为帆布铺成，但波音公司开发出哪一款全金属制飞机在当时引起各航空公司购买?|波音247
飞机发展史上，第一架成功的喷射客机是哪一型号?|波音707
波音707的原型机Dash80在哪一年由波音公司捐给美国国家航空航天博物馆?|1972年
1960年代波音公司推出哪一款超音速客机?|波音2707
世界上航空航天领域规模最大的公司是哪一间?|波音公司
小行星熔解何时完成的?|45亿年前
现代的五旬节运动大约开始于何时?|1901年
地球大气层，是因什么原因而围绕著地球的一层混合气体?|重力
地球早期的大气层与现今的大气层完全不相同，富含哪一种火山喷发气体?|二氧化碳
第一部罗马尼亚语语法书在哪一年出版?|1780年
现存最早的罗马尼亚语文献是哪一年书写的文信?|1521年
今天的泰山轮廓约多久以前形成的?|3000万年前
自秦以来，中国古代有几位帝王前往泰山封禅朝拜?|12位
结构主义是从何时开始成为分析研究语言、文化与社会的流行方法?|二十世纪下半
哪一种主义的出现，帮助人们从生活中混乱的表象中，揭露隐藏其中的完整结构?|结构主义
托勒密于何时去世?|公元168年
托勒密在《天文学大成》的星表中列出了几个星座?|48个
最早期的化学元素的列表是在什么时候发表的?|1789年
第一位通过周期表中的趋势预测未知元素的特性的人是谁?|门捷列夫
阿拔斯王朝在什么时候被蒙古人消灭?|1258年
伊儿汗国阿八哈即位后定都于哪里?|大不里士
早期伊儿汗国信藏传佛教，直到合赞汗即位后确立了哪个宗教的国教地位?|伊斯兰教
武汉的城市宣传标语为何?|大江，大湖，大武汉
联合国粮食及农业组织的大会多久开一次会?|两年
河北的简称是什么?|冀
河北海拔最低点叫什么?|衡水湖
维他命C是在什么时候被发现的?|1912年
维他命C是在什么时候首次被制造出来?|1933年
日本国内留学生人数最多的大学是哪一所?|早稻田大学
日本早稻田大学从何时开始招收中国留学生?|1896年
中华人民共和国前领导人江泽民、胡锦涛过去访日时，皆选择哪所大学作为唯一大学演讲地点?|早稻田大学
第三国际成立于何时?|1919年3月
第三国际基本上的核心国家是哪一个?|苏联
台湾二二八事件爆发于何时?|1947年2月27日
台湾二二八事件期间的各地组织民兵进行武装抗争，尤以台湾哪一党的部队最有规模?|台湾共产党
台湾二二八事件爆发后，时任国防部长白崇禧宣示宽大怀柔政策，但哪个组织的成员例外?|共产党
台湾哪一位总统首度代表政府向二二八受难家属道歉?|李登辉
从哪一天开始，国民政府正式代表同盟国接管台湾?|1945年10月25日
台湾在日治时期，社会文化、生活型态和中国大陆差异颇大，但因什么原因故多对国民政府接收充满期待?|受到日本人的压迫
